time	V(n001)
2.248936222112989e-001	2.998325e+000
2.252604489061481e-001	2.989963e+000
2.257239112433169e-001	2.922752e+000
2.264748473322757e-001	2.683698e+000
2.276687187643254e-001	2.005954e+000
2.287047944575329e-001	1.187295e+000
2.293402766240433e-001	6.173327e-001
2.297008316936574e-001	2.815446e-001
2.297368766103305e-001	2.477056e-001
2.298089664436767e-001	1.799368e-001
2.298672290046957e-001	1.250974e-001
2.299153188887458e-001	7.980065e-002
2.299481941771016e-001	4.882368e-002
2.299743787195533e-001	2.414723e-002
2.299962599570916e-001	3.524907e-003
2.300170841343120e-001	-1.610134e-002
2.300363097960892e-001	-3.422043e-002
2.300576757753791e-001	-5.435516e-002
2.300808300514750e-001	-7.617234e-002
2.301051008628903e-001	-9.903723e-002
2.301302559894122e-001	-1.227291e-001
2.301559637364244e-001	-1.469336e-001
2.301821640872084e-001	-1.715919e-001
2.302088982562549e-001	-1.967407e-001
2.302364002806008e-001	-2.225973e-001
2.302651670031213e-001	-2.496251e-001
2.302961813834948e-001	-2.787417e-001
2.303314685933532e-001	-3.118375e-001
2.303761817835765e-001	-3.537183e-001
2.304485836727489e-001	-4.213821e-001
2.305367517999968e-001	-5.034826e-001
2.306300773466750e-001	-5.899636e-001
2.307555679062526e-001	-7.054377e-001
2.309433725327332e-001	-8.761489e-001
2.312286556027151e-001	-1.129439e+000
2.316775136964744e-001	-1.508845e+000
2.323748691716480e-001	-2.036312e+000
2.329580105129742e-001	-2.403579e+000
